Food Name,Category,Dietary Preference,Ingredients,Cooking Instructions,Spice Level,Cooking Time (mins),Serving Size,Calories,Protein (g),Carbohydrates (g),Fats (g),Step-by-Step Cooking Guide
Dosa,South Indian,Vegetarian,"Rice, urad dal, salt, water, oil","Ferment batter, spread on tawa, cook until crispy.",High,30,2,151,19,17,2,"1. Soak rice and urad dal separately for 6 hours. 2. Grind them into a smooth batter. 3. Mix the batter, add salt, and ferment overnight. 4. Heat a dosa tawa, spread the batter thinly, and cook until crispy. 5. Serve with chutney and sambar."
Idli,South Indian,Vegetarian,"Rice, urad dal, salt, water","Ferment batter, steam in idli molds.",High,60,4,389,17,37,5,"1. Soak rice and urad dal separately for 6 hours. 2. Grind them into a smooth batter. 3. Mix the batter, add salt, and ferment overnight. 4. Pour the batter into idli molds and steam for 10-12 minutes. 5. Serve with chutney and sambar."
Poori,South Indian,Vegetarian,"Whole wheat flour, water, salt, oil for frying","Knead the dough, roll into small discs, deep-fry until golden and puffy",Mild,30,4,220,5,30,10,"1. Mix flour, salt, and water to form a soft dough. 2. Divide into small balls and roll them into circles. 3. Heat oil in a pan and deep-fry until golden and puffy. 4. Drain excess oil and serve hot."
Chapathi,South Indian,Vegetarian,"Whole wheat flour, water, salt, oil (optional)","Knead the dough, roll into discs, cook on a tawa until golden brown",Mild,20,4,120,3,25,2,"1. Mix flour, salt, and water to form a soft dough. 2. Rest the dough for 20 minutes. 3. Divide into small balls and roll into circles. 4. Cook on a hot tawa, flipping until brown spots appear. 5. Apply oil or butter if desired."
Sweet Pongal,South Indian,Vegetarian,"Rice, moong dal, jaggery, ghee, cashews, raisins, cardamom","Cook rice and dal, mix with jaggery syrup, add ghee-roasted nuts and cardamom",Mild,40,4,320,6,55,8,"1. Dry roast moong dal until aromatic. 2. Cook rice and moong dal together in water. 3. Melt jaggery with little water and strain. 4. Mix jaggery syrup with cooked rice and dal. 5. Add ghee-roasted cashews, raisins, and cardamom. 6. Stir well and serve warm."
Vada,South Indian,Vegetarian,"Urad dal, salt, curry leaves, green chilies","Grind dal, shape into rings, deep-fry until golden.",Medium,10,4,191,13,30,21,"1. Soak urad dal for 4 hours. 2. Grind into a thick batter. 3. Add chopped ginger, green chilies, and salt. 4. Shape into small rounds with a hole in the center. 5. Deep fry until golden brown. Serve with chutney."
Sambar,South Indian,High-Protein,"Toor dal, tamarind, veggies, sambar powder","Boil dal, add tamarind and veggies, simmer with spices.",Mild,45,2,323,6,62,13,"1. Pressure cook dal with turmeric. 2. Cook vegetables (like drumsticks, carrots, and onions) in tamarind water. 3. Add sambar powder, cooked dal, and salt. 4. Temper with mustard seeds, curry leaves, and asafoetida. 5. Serve hot with rice or idli."
Pongal,South Indian,Vegetarian,"Rice, moong dal, pepper, ghee, cashews","Cook rice and dal, temper with ghee and spices.",Mild,55,3,329,4,38,18,"1. Cook rice and moong dal in a pressure cooker. 2. In a pan, temper cumin seeds, pepper, ginger, and curry leaves in ghee. 3. Mix the tempering with the cooked rice and dal. 4. Add salt and cook for 5 minutes. 5. Serve hot with chutney or sambar."
Appam,South Indian,Gluten-Free,"Rice, coconut, yeast, sugar, salt","Ferment batter, cook in an appam pan until fluffy.",High,55,1,110,19,33,17,"1. Soak rice and urad dal for 6 hours. 2. Grind into a smooth batter with coconut milk. 3. Add salt and ferment overnight. 4. Heat an appam pan, pour the batter, and swirl to spread. 5. Cook until the edges are crispy and the center is soft. Serve with stew."
Neer Dosa,South Indian,Gluten-Free,"Rice, coconut, salt, water","Blend rice with coconut, make thin dosas on tawa.",Medium,25,3,179,30,37,5,"1. Soak rice for 3-4 hours. 2. Grind into a smooth, watery batter. 3. Add salt and mix well. 4. Heat a dosa tawa, pour a ladle of batter, and spread thinly. 5. Cook for a minute and fold. Serve with chutney or curry."
Rasam,South Indian,Low-Calorie,"Tamarind, tomatoes, rasam powder, toor dal","Boil tamarind, add tomatoes and spices, temper.",Mild,40,1,491,10,14,23,"1. Boil tamarind water with tomatoes, rasam powder, and salt. 2. Add cooked dal and mix well. 3. Temper with mustard seeds, cumin seeds, curry leaves, and garlic in ghee. 4. Add the tempering to the rasam. 5. Garnish with coriander leaves and serve hot."
Avial,South Indian,High-Fiber,"Mixed vegetables, coconut, yogurt, curry leaves","Boil veggies, mix with coconut paste, add yogurt.",High,20,4,395,20,70,23,"1. Cut vegetables (like carrots, beans, and drumsticks) into long pieces. 2. Cook the vegetables with turmeric and salt. 3. Grind coconut, green chilies, and cumin into a paste. 4. Add the paste to the cooked vegetables. 5. Mix well and cook for 5 minutes. Serve with rice."
Puttu,South Indian,Gluten-Free,"Rice flour, coconut, water, salt",Steam rice flour layers with coconut.,Medium,15,3,239,30,23,10,1. Mix rice flour with salt and water to make a crumbly mixture. 2. Layer the mixture with grated coconut in a puttu maker. 3. Steam for 5-7 minutes. 4. Serve with kadala curry or banana.
Kadala Curry,South Indian,High-Protein,"Black chickpeas, coconut, spices","Cook chickpeas, make coconut gravy, simmer.",Mild,20,3,127,25,76,3,"1. Soak black chickpeas overnight and pressure cook. 2. Sauté onions, ginger, garlic, and green chilies. 3. Add curry leaves, tomatoes, and kadala curry powder. 4. Add cooked chickpeas and coconut milk. 5. Simmer for 10 minutes. Serve with puttu or appam."
Uttapam,South Indian,Vegetarian,"Dosa batter, onions, tomatoes, chilies","Pour batter thickly, top with veggies, cook on tawa.",Medium,50,4,437,7,28,22,"1. Use fermented dosa batter. 2. Heat a tawa, pour a ladle of batter, and spread thickly. 3. Top with chopped onions, tomatoes, and green chilies. 4. Cook until the base is golden brown. 5. Flip and cook the other side. Serve with chutney."
Kuzhi Paniyaram,South Indian,Vegetarian,"Dosa batter, onions, mustard seeds, curry leaves","Pour batter in paniyaram pan, cook till golden.",Medium,25,2,461,14,10,2,"1. Use fermented dosa batter. 2. Heat a paniyaram pan, add oil to each mold. 3. Pour batter into each mold. 4. Cook until golden brown on both sides. 5. Serve with chutney or sambar."
Adai,South Indian,High-Protein,"Rice, mixed dals, chilies, curry leaves","Soak, grind, make thick dosas on tawa.",Mild,45,3,163,20,22,8,"1. Soak rice, dal, and spices for 4 hours. 2. Grind into a coarse batter. 3. Add chopped onions, curry leaves, and salt. 4. Spread the batter on a hot tawa and cook until crispy. 5. Serve with avial or chutney."
Thalassery Biryani,South Indian,Non-Vegetarian,"Basmati rice, chicken, whole spices, ghee","Cook chicken, layer with rice, dum cook.",Mild,15,1,342,20,21,10,1. Marinate chicken with spices and yogurt. 2. Cook rice with whole spices until 70% done. 3. Layer the marinated chicken and rice in a pot. 4. Seal with dough and cook on low heat (dum) for 20 minutes. 5. Serve with raita and salad.
Chettinad Chicken,South Indian,High-Protein,"Chicken, coconut, Chettinad spices","Cook chicken with masala, simmer until rich.",Medium,35,2,221,14,17,6,"1. Marinate chicken with Chettinad masala and yogurt. 2. Sauté onions, ginger, garlic, and tomatoes. 3. Add marinated chicken and cook until tender. 4. Add coconut milk and simmer. 5. Garnish with coriander leaves. Serve with rice or parotta."
Mysore Pak,South Indian,High-Calorie,"Besan, sugar, ghee",Cook besan with sugar and ghee till set.,Mild,30,2,314,25,80,24,"1. Heat ghee in a pan. 2. Mix besan, sugar, and water in another pan. 3. Cook until the mixture thickens. 4. Add hot ghee gradually and stir continuously. 5. Pour into a greased tray, cool, and cut into pieces."
Parippu Curry,South Indian,High-Protein,"Toor dal, coconut, cumin, garlic","Cook dal, add coconut paste, temper.",Mild,40,2,519,2,43,6,"1. Cook moong dal with turmeric and water. 2. Temper mustard seeds, curry leaves, and garlic in ghee. 3. Add the tempering to the cooked dal. 4. Add coconut milk and salt. 5. Simmer for 5 minutes. Serve with rice."
Payasam,South Indian,Vegetarian,"Milk, jaggery, rice, cardamom, nuts",Simmer milk with rice and sweeteners.,High,60,3,419,24,34,4,1. Cook rice or vermicelli in milk. 2. Add sugar and cardamom powder. 3. Cook until thickened. 4. Fry nuts and raisins in ghee. 5. Add the fried nuts to the payasam. Serve warm or cold.
Theeyal,South Indian,High-Fiber,"Coconut, tamarind, shallots, spices","Roast coconut, grind, cook with tamarind gravy.",Medium,55,2,191,17,22,15,"1. Roast coconut, coriander seeds, and red chilies until brown. 2. Grind into a paste. 3. Cook vegetables (like shallots and drumsticks) in tamarind water. 4. Add the ground paste and salt. 5. Simmer for 10 minutes. Serve with rice."
Coconut Chutney,South Indian,High-Fiber,"Coconut, green chilies, curry leaves","Grind with water, temper with mustard seeds.",High,35,3,421,16,28,20,"1. Grind coconut, roasted chana dal, green chilies, and ginger into a paste. 2. Add water to adjust consistency. 3. Temper mustard seeds, curry leaves, and red chilies in oil. 4. Add the tempering to the chutney. 5. Serve with dosa or idli."
Tomato Gojju,South Indian,Vegetarian,"Tomatoes, tamarind, mustard seeds, jaggery",Cook tomatoes with spices until thick.,Mild,10,4,553,28,36,19,"1. Cook tomatoes until soft. 2. Add tamarind water, jaggery, and salt. 3. Temper mustard seeds, curry leaves, and asafoetida in oil. 4. Add the tempering to the tomato mixture. 5. Simmer for 5 minutes. Serve with rice or dosa."
Puliyodarai,South Indian,Vegetarian,"Tamarind, rice, peanuts, curry leaves","Cook tamarind paste, mix with cooked rice.",High,30,3,294,27,40,24,"1. Cook rice and let it cool. 2. Prepare tamarind paste with spices and jaggery. 3. Temper mustard seeds, curry leaves, and peanuts in oil. 4. Mix the tamarind paste and tempering with the rice. 5. Serve with papad or curd."
Kothu Parotta,South Indian,Non-Vegetarian,"Parotta, egg, onion, tomato, masala","Tear parotta, stir-fry with masala and eggs.",Mild,25,2,371,18,70,4,"1. Shred parotta into small pieces. 2. Sauté onions, tomatoes, and spices. 3. Add shredded parotta and mix well. 4. Add beaten eggs (optional) and cook until dry. 5. Garnish with coriander leaves. Serve hot."
Vegetable Kurma,South Indian,High-Fiber,"Mixed vegetables, coconut, yogurt, spices",Cook veggies with coconut-based masala.,Medium,15,3,480,3,15,23,"1. Cook mixed vegetables (like carrots, beans, and peas) with turmeric and salt. 2. Grind coconut, cashews, and spices into a paste. 3. Add the paste to the cooked vegetables. 4. Simmer for 10 minutes. 5. Serve with parotta or rice."
Malabar Parotta,South Indian,Vegetarian,"Maida, egg, ghee, salt","Knead, roll, fold, and cook on tawa.",Mild,50,4,335,17,61,17,"1. Knead maida, egg, and water into a soft dough. 2. Divide into small balls and roll into thin sheets. 3. Fold the sheets into layers and roll again. 4. Cook on a tawa with ghee until golden brown. 5. Serve with kurma or curry."
Bisi Bele Bath,South Indian,Vegetarian,"Rice, toor dal, tamarind, Bisi Bele spice mix","Cook dal, rice, tamarind, mix with spice blend.",Mild,40,4,329,23,39,15,"1. Cook rice and dal with vegetables. 2. Prepare bisi bele bath powder with spices. 3. Add tamarind water, jaggery, and salt to the cooked rice and dal. 4. Mix well and cook for 10 minutes. 5. Temper with mustard seeds, curry leaves, and cashews. Serve with papad."
Semiya Upma,South Indian,Vegetarian,"Vermicelli, onion, mustard seeds, curry leaves","Roast vermicelli, cook with water and spices.",Medium,20,1,228,14,22,16,"1. Roast vermicelli in ghee until golden. 2. Sauté mustard seeds, urad dal, onions, and green chilies. 3. Add water and salt, bring to a boil. 4. Add roasted vermicelli and cook until soft. 5. Garnish with coriander leaves. Serve with chutney."
Ragi Mudde,South Indian,High-Fiber,"Ragi flour, water, salt","Cook flour with water, shape into balls.",High,25,1,461,22,55,6,1. Boil water in a pan. 2. Add ragi flour gradually and stir continuously. 3. Cook until the mixture thickens. 4. Shape into balls using wet hands. 5. Serve with sambar or curry.
Dum Ka Chicken,South Indian,High-Protein,"Chicken, yogurt, whole spices","Marinate, slow-cook on dum.",High,50,3,371,6,45,21,"1. Marinate chicken with spices and yogurt. 2. Sauté onions, ginger, garlic, and tomatoes. 3. Add marinated chicken and cook until tender. 4. Seal the pot with dough and cook on low heat (dum) for 20 minutes. 5. Garnish with coriander leaves. Serve with naan or rice."
Kara Kuzhambu,South Indian,Vegetarian,"Tamarind, brinjal, sambar powder",Cook tamarind gravy with vegetables and spices.,High,15,2,517,4,27,24,"1. Prepare tamarind water and add sambar powder. 2. Cook vegetables (like drumsticks and brinjal) in the tamarind water. 3. Temper mustard seeds, fenugreek seeds, and curry leaves in oil. 4. Add the tempering to the kuzhambu. 5. Simmer for 10 minutes. Serve with rice."
Poriyal,South Indian,High-Fiber,"Mixed vegetables, coconut, mustard seeds","Stir-fry veggies, add coconut and tempering.",Mild,20,2,108,15,15,2,"1. Cook vegetables (like beans or carrots) with turmeric and salt. 2. Temper mustard seeds, urad dal, and curry leaves in oil. 3. Add grated coconut and sauté. 4. Mix with the cooked vegetables. 5. Serve as a side dish."
Erissery,South Indian,High-Fiber,"Pumpkin, coconut, beans, cumin","Cook pumpkin, blend coconut, temper.",Mild,40,2,263,2,45,5,"1. Cook pumpkin and black-eyed peas with turmeric and salt. 2. Grind coconut, cumin, and green chilies into a paste. 3. Add the paste to the cooked vegetables. 4. Temper mustard seeds and curry leaves in coconut oil. 5. Add the tempering to the erissery. Serve with rice."
Banana Chips,South Indian,Gluten-Free,"Raw bananas, coconut oil, salt","Slice bananas, deep-fry until crispy.",Medium,40,4,283,7,23,4,1. Slice raw bananas thinly. 2. Soak in turmeric water for 10 minutes. 3. Heat oil and fry the slices until crispy. 4. Drain excess oil and sprinkle salt. 5. Cool and store in an airtight container.
Murukku,South Indian,Vegetarian,"Rice flour, urad dal flour, butter, sesame seeds","Knead dough, shape, deep-fry.",Medium,25,3,467,16,34,21,"1. Mix rice flour, urad dal flour, cumin seeds, and butter. 2. Add water to make a dough. 3. Use a murukku press to shape the dough into spirals. 4. Deep fry until golden brown. 5. Cool and store in an airtight container."
Thattai,South Indian,Vegetarian,"Rice flour, urad dal flour, spices","Make dough, flatten, deep-fry.",Medium,60,1,475,2,73,22,"1. Mix rice flour, urad dal flour, butter, and spices. 2. Add water to make a dough. 3. Shape into small discs and flatten. 4. Deep fry until crispy. 5. Cool and store in an airtight container."
Pesarattu,South Indian,High-Protein,"Green gram, ginger, chilies","Grind soaked dal, make thin dosas.",Medium,20,3,482,17,61,25,1. Soak green gram dal for 4 hours. 2. Grind into a smooth batter with ginger and green chilies. 3. Add salt and mix well. 4. Spread the batter on a hot tawa and cook until crispy. 5. Serve with ginger chutney.
Kappa,South Indian,Gluten-Free,"Tapioca, coconut, green chilies","Boil and mash, mix with coconut paste.",High,40,2,179,26,48,15,"1. Boil tapioca (kappa) with turmeric and salt. 2. Mash the cooked tapioca. 3. Temper mustard seeds, curry leaves, and green chilies in coconut oil. 4. Add the tempering to the mashed tapioca. 5. Serve with fish curry or chutney."
Kadubu,South Indian,Gluten-Free,"Rice flour, coconut, jaggery",Steam rice flour dumplings with coconut filling.,Mild,30,4,263,21,77,16,1. Prepare rice flour dough with water and salt. 2. Shape the dough into small cups. 3. Fill the cups with a mixture of jaggery and coconut. 4. Steam the kadubu for 10-15 minutes. 5. Serve warm.
Obbattu,South Indian,Vegetarian,"Maida, chana dal, jaggery, ghee","Make dough, stuff with sweet dal filling, cook.",Mild,40,1,386,20,11,11,"1. Prepare a dough with maida and water. 2. Prepare a filling with chana dal, jaggery, and cardamom. 3. Roll the dough into small discs, add the filling, and seal. 4. Roll again into thin discs and cook on a tawa. 5. Serve with ghee or milk."
Mysore Masala Dosa,South Indian,Vegetarian,"Dosa batter, potato filling, chutneys","Spread dosa, stuff with potato masala.",Medium,15,3,427,22,27,8,1. Prepare dosa batter (same as regular dosa). 2. Spread a layer of red chutney on the dosa. 3. Add potato masala in the center. 4. Fold the dosa and cook until crispy. 5. Serve with coconut chutney and sambar.
Neyyappam,South Indian,Vegetarian,"Rice flour, jaggery, ghee, banana","Mix, pour batter in oil, deep-fry.",Mild,55,1,214,17,75,22,"1. Soak rice and urad dal for 4 hours. 2. Grind into a smooth batter with jaggery and cardamom. 3. Add chopped banana and coconut pieces. 4. Heat a paniyaram pan, add ghee to each mold. 5. Pour the batter and cook until golden brown. Serve warm."
Kharabath,South Indian,Vegetarian,"Rava, vegetables, ghee, spices","Roast rava, cook with veggies and masala.",Medium,35,4,268,26,29,6,"1. Roast rava in ghee until aromatic. 2. Add water, salt, and cook until the rava is soft. 3. Add coconut milk and mix well. 4. Temper mustard seeds, curry leaves, and green chilies in ghee. 5. Add the tempering to the kharabath. Serve with chutney."
Puli Inji,South Indian,Vegetarian,"Tamarind, ginger, jaggery, mustard seeds",Cook tamarind paste with ginger and jaggery.,Medium,50,2,543,4,71,12,"1. Sauté ginger, green chilies, and curry leaves in oil. 2. Add tamarind water, jaggery, and salt. 3. Cook until the mixture thickens. 4. Add roasted fenugreek powder. 5. Cool and store in an airtight container. Serve as a side dish."
Sukha Bonda,South Indian,Vegetarian,"Gram flour, potatoes, green chilies","Coat mashed potato balls in batter, deep-fry.",Medium,20,3,283,6,24,10,"1. Mix besan, rice flour, and spices with water to make a thick batter. 2. Shape into small balls. 3. Deep fry until golden brown. 4. Drain excess oil. 5. Serve with chutney or tea."
Rava Kesari,South Indian,Vegetarian,"Rava, sugar, ghee, cardamom, nuts","Roast rava, cook with sugar syrup.",High,20,3,132,6,68,1,"1. Roast rava in ghee until aromatic. 2. Add water, sugar, and cook until the rava is soft. 3. Add food color (optional) and cardamom powder. 4. Add fried nuts and raisins. 5. Serve warm."
Paruppu Vadai,South Indian,High-Protein,"Chana dal, curry leaves, chilies","Grind dal, shape, deep-fry.",Mild,40,4,547,7,38,16,"1. Soak chana dal and urad dal for 4 hours. 2. Grind into a coarse batter with green chilies and ginger. 3. Add chopped onions, curry leaves, and salt. 4. Shape into small discs and deep fry. 5. Serve with chutney."
Kuzhambu,South Indian,Vegetarian,"Tamarind, vegetables, sambar powder",Cook tamarind broth with spices.,Mild,35,2,448,23,44,21,"1. Prepare tamarind water and add sambar powder. 2. Cook vegetables (like drumsticks and brinjal) in the tamarind water. 3. Temper mustard seeds, fenugreek seeds, and curry leaves in oil. 4. Add the tempering to the kuzhambu. 5. Simmer for 10 minutes. Serve with rice."
Venthaya Kuzhambu,South Indian,Vegetarian,"Fenugreek, tamarind, jaggery, spices",Cook tamarind broth with fenugreek.,High,40,1,400,12,68,14,"1. Prepare tamarind water and add fenugreek powder. 2. Cook vegetables (like drumsticks and brinjal) in the tamarind water. 3. Temper mustard seeds, fenugreek seeds, and curry leaves in oil. 4. Add the tempering to the kuzhambu. 5. Simmer for 10 minutes. Serve with rice."
Sundal,South Indian,High-Protein,"Chickpeas, coconut, mustard seeds","Boil chickpeas, temper, add coconut.",Medium,20,4,195,8,12,17,"1. Soak chickpeas overnight and pressure cook. 2. Temper mustard seeds, urad dal, and curry leaves in oil. 3"
Curd Rice,South Indian,Probiotic,"Rice, curd, mustard seeds, green chilies","Mix rice with curd, temper with mustard seeds.",Mild,35,4,122,13,31,16,"1. Cook rice and let it cool. 2. Mix curd (yogurt) with the rice. 3. Temper mustard seeds, urad dal, curry leaves, and green chilies in oil. 4. Add the tempering to the curd rice. 5. Garnish with grated carrots or pomegranate seeds. Serve chilled."
Tomato Rasam,South Indian,Vegetarian,"Tomatoes, tamarind, rasam powder","Boil with tamarind, temper with spices.",Medium,60,2,491,22,62,12,"1. Boil tomatoes, tamarind water, and rasam powder. 2. Add cooked dal and salt. 3. Temper mustard seeds, cumin seeds, curry leaves, and garlic in ghee. 4. Add the tempering to the rasam. 5. Garnish with coriander leaves. Serve hot with rice."
Chicken Biryani,South Indian,Non-Vegetarian,"Basmati rice, chicken, onions, tomatoes, yogurt, biryani masala, ginger-garlic paste, green chilies, saffron, milk, ghee, whole spices (bay leaf, cloves, cardamom, cinnamon, coriander, mint","Marinate chicken, cook with spices, layer with partially cooked rice, and dum cook (slow cook)",Spicy,60,2,500,25,60,15,"1. Marinate chicken with yogurt, spices, and ginger-garlic paste for at least 30 minutes. 2. Cook onions, tomatoes, and marinated chicken in a pan until tender. 3. Partially cook basmati rice with whole spices. 4. Layer the chicken and rice in a pot, adding saffron milk, ghee, and herbs. 5. Dum cook (seal the pot and slow cook) for 20-30 minutes. 6. Serve hot with raita."
Mutton Biryani,South Indian,Non-Vegetarian,"Basmati rice, mutton, onions, tomatoes, yogurt, biryani masala, ginger-garlic paste, green chilies, saffron, milk, ghee, whole spices (bay leaf, cloves, cardamom, cinnamon, coriander, mint","Marinate mutton, pressure cook until tender, layer with rice, and dum cook",Spicy,90,2,600,30,65,18,"1. Marinate mutton with yogurt, spices, and ginger-garlic paste for at least 1 hour. 2. Pressure cook mutton with onions, tomatoes, and spices until tender. 3. Partially cook basmati rice with whole spices. 4. Layer the mutton and rice in a pot, adding saffron milk, ghee, and herbs. 5. Dum cook (seal the pot and slow cook) for 30 minutes. 6. Serve hot with raita and boiled eggs."
Thengai Sadam,South Indian,High-Fiber,"Rice, coconut, green chilies, curry leaves","Cook rice, mix with tempered coconut.",High,20,1,523,6,79,10,"1. Cook rice and let it cool. 2. Grind coconut, green chilies, and cumin into a coarse paste. 3. Temper mustard seeds, urad dal, curry leaves, and cashews in oil. 4. Mix the coconut paste and tempering with the rice. 5. Serve with papad or pickle."
Vegetable Kuruma,South Indian,Vegetarian,"Mixed vegetables (carrot, beans, potato, peas), coconut, green chilies, yogurt, cashews, garam masala, poppy seeds, ginger-garlic paste, whole spices (bay leaf, cardamom, cinnamon, coriander, curry leaves",Cook vegetables with coconut paste and spices until thick gravy forms,Medium,40,1,250,7,35,8,"1. Grind coconut, green chilies, cashews, and poppy seeds into a paste. 2. Sauté onions, ginger-garlic paste, and whole spices in a pan. 3. Add chopped vegetables and cook for a few minutes. 4. Add the coconut paste, yogurt, and water, then simmer. 5. Cook until vegetables are tender and gravy thickens. 6. Garnish with coriander and serve hot."
Potato Masala,South Indian,Vegetarian,"Potatoes, onions, green chilies, mustard seeds, curry leaves, turmeric, salt, oil","Boil and mash potatoes, cook with tempered spices and onions",Mild,25,1,200,4,30,6,"1. Boil potatoes, peel, and mash them coarsely. 2. Heat oil in a pan, add mustard seeds, curry leaves, and green chilies. 3. Add onions and sauté until soft. 4. Add mashed potatoes, turmeric, and salt. 5. Mix well, cook for a few minutes, and serve."
Chicken Gravy,South Indian,Non-Vegetarian,"Chicken, onions, tomatoes, ginger-garlic paste, garam masala, chili powder, coriander powder, yogurt, whole spices (cardamom, cloves, cinnamon, curry leaves",Cook chicken with a spiced onion-tomato base to make a thick gravy,Spicy,50,1,450,28,40,15,"1. Heat oil, sauté whole spices, onions, and ginger-garlic paste. 2. Add chopped tomatoes and cook until soft. 3. Add chicken pieces, spices, and yogurt, mix well. 4. Add water and simmer until chicken is tender. 5. Garnish with coriander leaves and serve hot."
